"BRND_CD","STO_LOC_ID","SHPG_TRXN_ID","SHPG_TRXN_LN_DT","TRXN_BGN_TM","SRC_RGST_NBR","ITM_SKU_NUM","SRC_SLS_PRSN_NUM","SRC_SLS_CSHR_NUM","FP_SLS_AMT","FP_SLS_QTY","CLR_SLS_AMT","CLR_SLS_QTY","MD_SLS_AMT","MD_SLS_QTY","GVWY_SLS_AMT","GVWY_SLS_QTY","NET_SALES","NET_SLS_QTY","RETURN_SALES","RETURN_QTY","ANGEL_TRXN","WT_UNT_CST_AMT","CUR_TKT_RTL_UNT_AMT"
"VSS","1017072"," 000000003167610350.","2017-08-02","16:56:21.000000","4","000000000023509567","103058332","103058332"," 0000000.00","0"," 0000014.99","1"," 0000000.00","0"," 0000000.00","0"," 000000014.99","1"," 0000000.00","0","Y"," 000005.400"," 0000014.99"
"VSS","1017043"," 000000003167879061.","2017-08-02","16:04:56.000000","2","000000000023425821","101620629","101620629"," 0000000.00","0"," 0000000.00","0"," 0000021.00","1"," 0000000.00","0"," 000000021.00","1"," 0000000.00","0","Y"," 000006.290"," 0000032.95"
"VSS","1016456"," 000000003167602566.","2017-08-02","15:31:28.000000","2","000000000023581995","101713345","103114545"," 0000000.00","0"," 0000000.00","0"," 0000005.60","1"," 0000000.00","0"," 000000005.60","1"," 0000000.00","0","N"," 000001.670"," 0000010.50"
"VSS","1016449"," 000000003167598892.","2017-08-02","17:46:06.000000","3","000000000023503022","0","101722712"," 0000000.00","0"," 0000000.00","0"," 0000005.60","1"," 0000000.00","0"," 000000005.60","1"," 0000000.00","0","Y"," 000001.930"," 0000010.50"
"VSS","1017074"," 000000003167610325.","2017-08-02","15:08:42.000000","3","000000000023550762","101121842","103100277"," 0000000.00","0"," 0000000.00","0"," 0000005.60","1"," 0000000.00","0"," 000000005.60","1"," 0000000.00","0","N"," 000001.690"," 0000010.50"
"VSS","1017001"," 000000003167605921.","2017-08-02","12:17:04.000000","3","000000000023564550","0","100990418"," 0000000.00","0"," 0000000.00","0"," 0000003.50","1"," 0000000.00","0"," 000000003.50","1"," 0000000.00","0","N"," 000001.860"," 0000010.50"
"VSS","1013469"," 000000003167581823.","2017-08-02","11:26:19.000000","5","000000000023564703","101790621","103097847"," 0000000.00","0"," 0000000.00","0"," 0000031.56","1"," 0000000.00","0"," 000000031.56","1"," 0000000.00","0","Y"," 000008.320"," 0000032.95"
"VSS","1013545"," 000000003167584915.","2017-08-02","16:47:19.000000","3","000000000023466070","101858761","101690941"," 0000000.00","0"," 0000000.00","0","-0000017.50","-1"," 0000000.00","0","-000000017.50","-1"," 0000017.50","1","N"," 000007.260"," 0000024.00"
"VSS","1005719"," 000000003167561807.","2017-08-02","16:54:58.000000","5","000000000023494704","101360870","101820207","-0000045.00","-1"," 0000000.00","0"," 0000000.00","0"," 0000000.00","0","-000000045.00","-1"," 0000045.00","1","N"," 000012.690"," 0000059.50"
"VSS","1013608"," 000000003167594947.","2017-08-02","10:29:53.000000","3","000000000023529003","103002118","101895329"," 0000000.00","0"," 0000000.00","0"," 0000018.00","1"," 0000000.00","0"," 000000018.00","1"," 0000000.00","0","N"," 000003.750"," 0000024.95"
"VSS","1017023"," 000000003167878014.","2017-08-02","19:36:15.000000","4","000000000023552061","101460462","101613737"," 0000000.00","0"," 0000000.00","0"," 0000004.35","1"," 0000000.00","0"," 000000004.35","1"," 0000000.00","0","N"," 000001.990"," 0000010.50"
